"ID","Maths_points","Gender_factor","Drum_VR_W2_p","Drum_NA_W2_p","BAS_TS_Mat_W2","SDQ_emot_res_PCG_W2","SDQ_good_cond_PCG_W2","SDQ_focused_beha_PCG_W2","SDQ_positive_peer_PCG_W2","PCG_Educ_W2","SCG_Educ_W2","Income_equi","DEIS_binary_W2","Fee_paying_W2","Mixed","SDQ_emot_PCG_W2","SDQ_cond_PCG_W2","SDQ_hyper_PCG_W2","SDQ_peer_PCG_W2","Drum_VR_W2_p_std","Drum_NA_W2_p_std","BAS_TS_Mat_W2_std","PCG_Educ_W2_std","SCG_Educ_W2_std","Income_equi_std","SDQ_emot_PCG_W2_std","SDQ_cond_PCG_W2_std","SDQ_hyper_PCG_W2_std","SDQ_peer_PCG_W2_std","high_sdq_count","low_sdq_count","risk_group","maths_percentile","resilience","gender_binary","Income_equi_quint","low_income","high_income","low_educ_pcg","high_educ_pcg","low_educ_scg","high_educ_scg","Maths_points_jittered"
3533000,11,"Male",45,75,145,9,10,7,9,4,5,28000,0,0,1,1,0,3,1,-0.907690777838306,0.88560660792047,1.57053013343846,0.0280696226145673,0.839123827432658,1.03069335236294,-0.335856952280232,-0.779839558814468,0.296660782261584,0.00153762545811847,0,1,"Moderate Risk",0.667371202113606,"Resilient",1,5,0,1,0,1,0,1,10.9485830508173
3534000,10,"Male",15,40,117,7,6,10,10,4,2,13000,0,0,1,3,4,0,0,-2.27651958608884,-0.66820607188017,0.017649504572443,0.0280696226145673,-1.36023260338257,-0.532285658786562,0.766487582902221,2.4241458667651,-1.06035619918307,-0.726143622596442,2,2,"High Risk",0.546103038309115,"Non-Resilient",1,3,1,0,0,1,1,0,10.0599469203036
3540000,11,"Male",65,75,114,8,10,10,6,3,2,9000,0,0,1,2,0,0,4,0.00486176099538475,0.88560660792047,-0.148730562806059,-0.778359178113134,-1.36023260338257,-0.949080061759762,0.215315315310994,-0.779839558814468,-1.06035619918307,2.1845813696218,1,2,"Low Risk",0.682959048877147,"Not Applicable",1,1,1,0,1,0,1,0,10.9590420813765
3541000,11,"Male",85,60,110,10,10,7,9,6,5,24000,0,0,0,0,0,3,1,0.917414299829076,0.21968688800591,-0.370570652644062,1.64092722406997,0.839123827432658,0.613898949389738,-0.887029219871459,-0.779839558814468,0.296660782261584,0.00153762545811847,0,2,"Low Risk",0.797093791281374,"Not Applicable",1,5,0,1,0,1,0,1,11.0393571204506
3543000,11,"Male",50,70,140,10,10,8,10,3,6,20000,0,0,0,0,0,2,0,-0.679552643129884,0.66363336794895,1.29323002114096,-0.778359178113134,1.5722426377044,0.197104546416538,-0.887029219871459,-0.779839558814468,-0.1556782115533,-0.726143622596442,0,3,"Low Risk",0.818229854689564,"Not Applicable",1,4,0,1,1,0,0,1,11.0522364222445
3544000,10,"Male",85,70,114,10,10,9,9,4,4,10000,0,0,1,0,0,1,1,0.917414299829076,0.66363336794895,-0.148730562806059,0.0280696226145673,0.106005017160914,-0.844881461016462,-0.887029219871459,-0.779839558814468,-0.608017205368183,0.00153762545811847,0,3,"Low Risk",0.425627476882431,"Not Applicable",1,2,1,0,0,1,0,1,9.95474605928175
3546000,11,"Male",95,55,114,8,9,7,10,5,6,21000,0,0,1,2,1,3,0,1.37369056924592,-0.00228635196560979,-0.148730562806059,0.834498423342269,1.5722426377044,0.301303147159838,0.215315315310994,0.021156797580425,0.296660782261584,-0.726143622596442,0,1,"Moderate Risk",0.596301188903567,"Non-Resilient",1,4,0,1,0,1,0,1,10.9010416220408
3549000,8,"Male",65,40,110,10,10,7,10,4,3,13000,0,0,0,0,0,3,0,0.00486176099538475,-0.66820607188017,-0.370570652644062,0.0280696226145673,-0.627113793110829,-0.532285658786562,-0.887029219871459,-0.779839558814468,0.296660782261584,-0.726143622596442,0,3,"Low Risk",0.159841479524439,"Not Applicable",1,3,1,0,0,1,1,0,7.98441998753697
3550000,8,"Male",65,60,99,8,10,3,9,6,3,21000,0,0,0,2,0,7,1,0.00486176099538475,0.21968688800591,-0.98063089969857,1.64092722406997,-0.627113793110829,0.301303147159838,0.215315315310994,-0.779839558814468,2.10601675752112,0.00153762545811847,1,1,"Moderate Risk",0.184940554821664,"Non-Resilient",1,4,0,1,0,1,1,0,8.01956338374876
3551000,11,"Male",50,95,129,9,10,10,10,3,4,13000,0,0,1,1,0,0,0,-0.679552643129884,1.77349956780655,0.683169774086452,-0.778359178113134,0.106005017160914,-0.532285658786562,-0.335856952280232,-0.779839558814468,-1.06035619918307,-0.726143622596442,0,3,"Low Risk",0.726287978863937,"Not Applicable",1,3,1,0,1,0,0,1,10.988433474442
